422
Thu  .  14:32:43  .  2015-07-23  .    .  ThomasRemoved UnusedResources
Thu  .  15:00:50  .  2015-07-23  .    .  /OU=Domain Control Validated/CN=svn.company.net[gradle-release] prepare for next development iteration
Thu  .  16:09:42  .  2015-07-23  .    .  ThomasMoved app recommendations icons into client
Fri  .  09:30:51  .  2015-07-24  .    .  ThomasPHONE-465: Phone 2.0 - App Crashes after first launch.,PHONE-464: Phone 2.0 - App Crashes when you navigate to Share tab.
Fri  .  09:37:34  .  2015-07-24  .    .  ThomasPHONE-436: Phone - Disable TV Beaming
"Fri  .  09:43:16  .  2015-07-24  .    .  ThomasPHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud"""
"Fri  .  10:45:10  .  2015-07-24  .    .  ThomasPHONE-466: Phone 2.0 - ""MigrationInfo"" Text appears frequently went navigate to ""what to back up""."
"Fri  .  11:27:05  .  2015-07-24  .    .  ThomasPHONE-397: Phone 2.0 - ""Content found"" notification does not pop up."
Fri  .  11:49:13  .  2015-07-24  .    .  ThomasChanged project jira key
Fri  .  14:43:57  .  2015-07-24  .    .  /OU=Domain Control Validated/CN=svn.company.net[gradle-release] prepare for next development iteration
Fri  .  16:00:58  .  2015-07-24  .    .  ThomasWrong commit
Fri  .  16:13:21  .  2015-07-24  .    .  ThomasAdded QA Tested to the jira report, revert settings.gradle
Mon  .  09:26:01  .  2015-07-27  .    .  ThomasPHONE-478: PHONE 2.0 - Homescreen Timeline should be bolded
Mon  .  10:10:44  .  2015-07-27  .    .  ThomasPHONE-471: Phone - Shadow ro right of Logo
"Mon  .  13:01:18  .  2015-07-27  .    .  Nickyfinalisation of ANDINT-3395;,Potential NPE fixed.,"
Tue  .  08:38:12  .  2015-07-28  .    .  ThomasSet gap strategy to GAP_HANDLING_NONE
Tue  .  10:22:46  .  2015-07-28  .    .  ThomasPHONE-491: Phone - Countly End Points
Wed  .  10:06:55  .  2015-07-29  .    .  ThomasPHONE-340: Phone 2.0 - PUSH Notification are not working - DEV / API
Wed  .  14:20:59  .  2015-07-29  .    .  ThomasSet up correct prod endpoints
Wed  .  14:46:30  .  2015-07-29  .    .  ThomasUpdate prod values
Thu  .  09:05:21  .  2015-07-30  .    .  ThomasPHONE-423: External web addresses for auth, upgrade and logout need to be retrieved from SNC.
Thu  .  09:58:03  .  2015-07-30  .    .  ThomasChanged release email subject
Thu  .  10:43:33  .  2015-07-30  .    .  /OU=Domain Control Validated/CN=svn.company.net[gradle-release] prepare for next development iteration
Thu  .  14:09:42  .  2015-07-30  .    .  ThomasPHONE-450: Include Phone strings.xml file in final build before FAT,Moved nab_account_type, dataclasses, dataclasses_extended_pcloud and dataclasses_extended_mct into configuration
Thu  .  14:33:20  .  2015-07-30  .    .  ThomasRemoved unused strings
Thu  .  14:39:58  .  2015-07-30  .    .  ThomasAdded ignores UnusedResources
Thu  .  14:49:48  .  2015-07-30  .    .  ThomasFixing libpng warning: iCCP: Not recognizing known sRGB profile that has been edited
Thu  .  14:50:17  .  2015-07-30  .    .  ThomasUpdated icon.png
"Thu  .  15:01:09  .  2015-07-30  .    .  ThomasPut translatable=""false"""
Thu  .  15:31:45  .  2015-07-30  .    .  /OU=Domain Control Validated/CN=svn.company.net[gradle-release] prepare for next development iteration
Fri  .  11:25:54  .  2015-07-31  .    .  ThomasPHONE-418: Login errors need to be handled.
Fri  .  13:13:05  .  2015-07-31  .    .  ThomasSet mct.cloud.fallback to false
Fri  .  13:53:01  .  2015-07-31  .    .  ThomasRemoved Reliance specific login and download classes
"Fri  .  14:02:01  .  2015-07-31  .    .  ThomasPHONE-578: ""/n"" showing up in string rather than text moving to new line"
Fri  .  14:38:41  .  2015-07-31  .    .  ThomasRemoved NAB QuotaManagement feature
Fri  .  14:45:12  .  2015-07-31  .    .  ThomasRemoved unused resources
Tue  .  11:04:57  .  2015-08-04  .    .  ThomasRemoved specific VZW provisioning_flow_enabled , contacts clean up and contacts history
Tue  .  11:11:54  .  2015-08-04  .    .  ThomasRemoved unused
Tue  .  11:20:26  .  2015-08-04  .    .  JimmyPHONE-547 - Added rounded buttons accross the board
Tue  .  11:32:33  .  2015-08-04  .    .  ThomasRemoved unused ContactsActivity
Tue  .  11:38:01  .  2015-08-04  .    .  ThomasRemoved unused UserChanged
"Tue  .  12:06:10  .  2015-08-04  .    .  ThomasPHONE-623: Phone 2.0 - ""Remove from Playlist"" pop up is displayed when user try to remove Photo or video from an album."
Tue  .  13:09:04  .  2015-08-04  .    .  JimmyPHONE-613 - Removed tile
Tue  .  13:17:59  .  2015-08-04  .    .  JimmyBuild fix
"Tue  .  13:49:54  .  2015-08-04  .    .  ThomasPHONE-552: Phone 2.0 - ""About"" not implemented in settings."
Tue  .  13:54:05  .  2015-08-04  .    .  JimmyPHONE-363 - Updated notification icon
Tue  .  14:04:25  .  2015-08-04  .    .  JimmyLint modification
Tue  .  14:04:57  .  2015-08-04  .    .  ThomasPHONE-591: Phone 2.0 - 'Report Abusive Content' is available in Share tab.
Tue  .  14:11:09  .  2015-08-04  .    .  JimmyLint modification
Tue  .  14:16:37  .  2015-08-04  .    .  JimmyLint modification
Tue  .  14:27:27  .  2015-08-04  .    .  JimmyLint modification
Tue  .  14:31:44  .  2015-08-04  .    .  ThomasPHONE-654: Phone 2.0 - App is crashing when we double tap on device back key when favoriting/unfavoriting content is in progress.
Tue  .  14:47:30  .  2015-08-04  .    .  ThomasPHONE-651: Phone 2.0 - Add files pop up is not displayed as expected when we try to add more files to share
Tue  .  16:00:51  .  2015-08-04  .    .  ThomasRemoved unused BackupNowActivity
Tue  .  16:34:43  .  2015-08-04  .    .  ThomasRemoved unused contacts related classes
Wed  .  10:36:03  .  2015-08-05  .    .  ThomasExclude non en and ldpi resources from client-att client
Wed  .  14:16:44  .  2015-08-05  .    .  JimmyPHONE-549 - Suppressed view when not data is available
Wed  .  14:30:09  .  2015-08-05  .    .  JimmyPHONE-681
Wed  .  14:43:58  .  2015-08-05  .    .  ThomasPHONE-551: Phone 2.0 - Push notification is starting download of the shared file
Wed  .  15:58:41  .  2015-08-05  .    .  ThomasShare optimisation, don't do thumbnails request for non media items
Thu  .  10:00:39  .  2015-08-06  .    .  /OU=Domain Control Validated/CN=svn.company.net[gradle-release] prepare for next development iteration
Thu  .  16:44:44  .  2015-08-06  .    .  ThomasRemove sliding menu header
Fri  .  13:29:04  .  2015-08-07  .    .  JimmyPHONE-434 Changed Slide Menu changed to Phone Locker
Fri  .  13:55:01  .  2015-08-07  .    .  JimmyRemoved unused import
Mon  .  14:01:26  .  2015-08-10  .    .  JimmyAdded strings as translated for phraseapp
Mon  .  14:06:28  .  2015-08-10  .    .  JimmyAdded strings as translated for phraseapp
Mon  .  14:25:22  .  2015-08-10  .    .  JimmyAdded strings as translated for phraseapp
Mon  .  14:30:21  .  2015-08-10  .    .  JimmyAdded strings as translated for phraseapp
Wed  .  08:26:25  .  2015-08-12  .    .  JimmyAdded backup status
Wed  .  10:29:11  .  2015-08-12  .    .  JimmyPHONE-455 - Merged from trunk,Added migration status screen
Wed  .  12:08:41  .  2015-08-12  .    .  JimmyAdded migration activity
Wed  .  12:19:41  .  2015-08-12  .    .  JimmyPHONE-295
Wed  .  13:23:37  .  2015-08-12  .    .  JimmyLINT FIX
Wed  .  15:08:00  .  2015-08-12  .    .  JimmyPHONE-799 - Modified the layout of the button to wrap the text
Wed  .  17:59:37  .  2015-08-12  .    .  JimmyRemoved temporary check for status
Thu  .  10:21:05  .  2015-08-13  .    .  JimmyString updated
Thu  .  10:33:33  .  2015-08-13  .    .  JimmyModified
Thu  .  10:34:01  .  2015-08-13  .    .  JimmyRemoved notification icons.
Thu  .  11:11:29  .  2015-08-13  .    .  JimmyPHONE-549
